﻿X,Y,operator
22.7734193,41.9721268,Blagoj Zlatkovski
21.5543192,41.3445751,Silk Road
20.8058637,41.1106354,Комерцијална Банка
21.3959333,41.9944772,НЛБ - Тутунска Банка
21.3959313,41.9944722,Стопанска Банка АД - Скопје
21.3924412,41.9983327,НЛБ - Тутунска Банка
21.3916984,42.0005737,Комерцијална Банка АД Скопје
21.3900584,42.0010181,Стопанска Банка АД - Скопје
21.3900585,42.0010817,Комерцијална Банка АД Скопје
21.3900911,42.001081,НЛБ - Тутунска Банка
21.3925292,42.0045813,Шпаркасе Банка Македонија АД Скопје
21.3946845,42.0036936,Стопанска Банка АД - Скопје
21.4171593,42.0058046,Уни Банка
21.3847909,42.0043009,Уни Банка
21.3842855,42.0079825,Уни Банка
21.4452888,42.0136404,Шпаркасе Банка Македонија АД Скопје
21.443976,41.9757707,Шпаркасе Банка Македонија АД Скопје
22.5524673,41.1271737,Eurobank
22.7751876,41.9664243,Uni Bank
22.182074,42.0782848,Central Cooperative Bank
21.4266335,41.9921343,Шпаркасе
21.4295739,41.9920274,Шпаркасе
21.4292834,41.9951423,Шпаркасе Банка Македонија АД Скопје
21.4263503,41.9976152,Стопанска Банка АД - Скопје
21.4037627,42.0092122,Шпаркасе Банка Македонија АД Скопје
21.4039823,42.0137911,Стопанска Банка АД - Битола
21.4061361,42.0139259,Комерцијална Банка АД Скопје
21.4062413,42.0139201,УНИБанка
21.6096546,42.0968846,ijj
21.4998343,41.9967167,Комерцијална Банка
21.4000421,42.0030413,Стопанска Банка АД - Скопје
21.399685,42.015202,NLB Tutunska Banka
21.7816717,41.7171518,Стопанска Банка Битола
21.7826137,41.7166424,ТТК Банка
21.7822618,41.7176451,Уни Банка
21.7839998,41.7158272,НЛБ Тутунска Банка
21.7842337,41.7158288,Шпаркасе
21.7833974,41.7172977,ПроКредит Банка
21.4554246,41.9880998,Шпаркасе Банка Македонија АД Скопје
21.4341736,41.994706,Шпаркасе Банка Македонија АД Скопје
21.4333409,41.9957551,Стопанска Банка АД - Скопје
21.4344946,41.9974347,Halkbank
22.195328,41.7387156,Tutunska Banka AD Skopje
21.2195451,41.5075949,Komercijalna banka
21.2484312,41.3679678,Stopanska Banka
21.2485794,41.3680536,NLB
21.249289,41.3685612,Komercjapna banka
21.4658037,41.9849643,Шпаркасе Банка Македонија АД Скопје
21.4405696,41.9809158,Stopanska Banka
21.4400507,41.981848,Sparkasse
21.4171609,41.9938379,Охридска Банка
21.417619,41.9937422,Шпаркасе Банка Македонија АД Скопје
21.4443579,42.0297565,Шпаркасе
21.4350212,42.0202071,Шпаркасе Банка Македонија АД Скопје
20.8022752,41.112087,Стопанска Банка
20.8020614,41.112902,Централна Кооперативна Банка
20.9125409,41.7964728,Tutunska Banka
21.0129515,41.0896441,Komercijalna Banka
21.0137127,41.0901855,Stopanska banka Bitola
21.4009272,41.9938697,Шпаркасе
21.4050462,41.9967042,Стопанска Банка АД - Скопје
22.0106767,41.4371148,Stopanska Banka
22.0109749,41.4372911,Komercijalna Banka
22.0169607,41.4345552,ProCredit Bank
