﻿X,Y,name
21.4448074,41.9728434,Гет Кафе
21.4385091,41.9787578,Ресторан Кум
21.4440848,41.9754573,Игротека Смајли
21.4438183,41.9768256,Журнал
21.4444199,41.9768128,63
21.4455687,41.9710708,Ресторан Трпеза
21.4456656,41.9732771,Bass Cafe
21.446234,41.9734649,Quatro Caffe
21.4456487,41.9775109,Ексклузив
21.4212497,41.9495659,Мулино Гарден
21.4093282,41.9748528,бимекс
20.7206671,40.9030442,Kashta
20.7208697,40.9031428,Dallga
20.7212838,40.9031754,Sirena
20.9144193,40.9390733,Beach Bar Mystic
20.915975,40.9383195,Beach Summer Club Bar Delirium
20.7819982,40.9615847,St. Tropez
20.7824024,40.9617356,Mermaid Terrace
20.7833664,40.9621226,Saint Tropez
20.8146854,40.9671526,KORITA
20.9215793,40.8831747,Restaurant Vasili
22.7736839,41.963414,Gostilnica Zvon-Trejd
22.772658,41.9641901,Ресторан Трла
22.7723271,41.965006,Фонтана
22.7727088,41.9645865,Фонтана
22.7710179,41.9653589,Фонтана
22.7714652,41.9655104,Пицерија Палма
22.7725965,41.9663868,Фонтана
22.7729809,41.9663111,Пицерија Iceberg
22.7733594,41.9652916,Фонтана
22.7742657,41.9654757,Две Липи
22.7727421,41.9665628,Антика
22.7732345,41.9664629,Вигор
22.7738953,41.9665385,Sky Coffee
22.7743723,41.9671309,Кај Бубето
22.7756064,41.9663251,Фонтана
22.7756155,41.9667157,Панорама
22.7757541,41.9669895,Apolon
22.7757929,41.9669685,Apolon
22.775975,41.9670002,Ресторан Либеро
22.7765278,41.9665702,Анкет
22.7771972,41.9664561,Сиан
22.7773156,41.9671248,Валиум
22.7772992,41.9671423,Валиум
22.7773408,41.9671407,Валиум
22.7774699,41.9661844,Буцко - Бурекчилница
21.6186125,41.9371686,Kaj Dzek
21.6274047,41.9608168,Cafe-inn
21.626938,41.9612516,Burger King
21.6276146,41.9610488,Cakes & Bakes
22.4062744,41.9596507,Градче
21.4727082,41.9650429,Градина
21.0571809,40.9721129,Proper
21.1624357,40.9075981,Vila Raskrsnica
21.2993843,41.9502955,Кањон Матка
21.2954889,41.9584413,Fresh
21.2952137,41.96002,Fish Grill (Macedonian Cave Restaurant)
21.2961533,41.9610975,Манастирска пештера
20.8636388,41.9439294,Kafe te mullajni
20.927576,41.9386572,Sinican
20.9266094,41.938956,Voda
20.9267987,41.9403239,Sharr 71
20.9268824,41.9405207,Cine 501
20.9270945,41.940898,Max Doner
20.9262185,41.9420491,Rinia 97
20.9277266,41.9427811,Mujo
20.9272881,41.9444009,Restoran Elita
20.9284227,41.9445205,Voda za pienje
20.929929,41.9485098,Niki
20.9398801,41.976507,Nes Komerc
22.8186239,41.9752689,Рибник Воденица
22.8201711,41.9759762,Fountain with natural water
22.8211477,41.9762515,Света вода
21.4565032,41.9729164,Тарапана
21.4820381,41.9782792,Ресторан Рагуза 919
21.4853971,41.9755946,1 у 1 (Панда)
21.4059587,42.0015351,Вили
21.4069546,42.0060914,Bonimi
21.4082395,42.0051454,Cafeteria
21.4061819,42.0062605,Minus Eden
21.4063144,42.0062651,Барбакан
21.404147,42.0137478,Coffeeshop Company lounge
21.4100468,42.0127048,Меана Б Јавор Мрзенци
21.4117168,42.0131608,Фиш
